Ortsname;Sämann;Sohn;VaterUnser;Matth13;Probe;Jahr;Orthographie;X;Y;Quelle;Kommentar;Informant;Herkunft
Dordrecht;;x;;;;1872;niederländisch;51.7687922;4.6827954;Winkler;;;
Oud-Beijerland;;x;;;;1870;niederländisch;51.8080488;4.3804496;Winkler;;A. Hoogwerf;
Brielle;;x;;;;1870;niederländisch;51.9020582;4.1522257;Winkler;;C. J. Biemond;
Tinte;;x;;;;1870;niederländisch;51.8903719;4.1170815;Winkler;;G. Overeem;
Nieuwe-Tonge;;x;;;;1870;niederländisch;51.7083392;4.1179553;Winkler;;S. Admiraal;
Ouddorp;;x;;;;1870;niederländisch;51.7928158;3.8691588;Winkler;;A. T. Volk;
Burgh op Schouwen;;x;;;;1870;niederländisch;51.6900684;3.7274522;Winkler;;J. A. Manus van der Jagt;
Tholen;;x;;;;1870;niederländisch;51.5833458;4.0912452;Winkler;;J. Theunisse;
Zuid-Beveland;;x;;;;1870;niederländisch;51.5000115;3.7820612;Winkler;;J. v. d. Baan;
Wemeldinge;;x;;;;1872;niederländisch;51.5124126;3.9728577;Winkler;;J. van der Baan;
Goes;;x;;;;1869;niederländisch;51.5031269;3.877011;Winkler;;;
Noord-Beveland;;x;;;;1870;niederländisch;51.5658658;3.6229964;Winkler;;J. van der Baan;
Walcheren;;x;;;;1870;niederländisch;51.5387322;3.4498764;Winkler;;K. Baart;
Arnemuiden;;x;;;;1870;niederländisch;51.5123223;3.6775778;Winkler;;P. Kwekkeboom;
Hulst;;x;;;;1870;niederländisch;51.2903364;4.0065219;Winkler;;J. J. Claassen;
Axel;;x;;;;1870;niederländisch;51.2752822;3.8859377;Winkler;;Dr. H. J. van Eck;
Cadzand;;x;;;;1872;niederländisch;51.3683824;3.3957892;Winkler;;S. de Back;
Sluis;;x;;;;1871;niederländisch;51.2955004;3.3622864;Winkler;;H. J. van Dale;
Aardenburg;;x;;;;1870;niederländisch;51.2873491;3.4134521;Winkler;;G. P. Roos;
Eede en Heille;;x;;;;1870;niederländisch;51.2551505;3.4522841;Winkler;;G. P. Roos;
Helchteren;;x;;;;1873;niederländisch;51.0526008;5.3588082;Winkler;;;
Hasselt;;x;;;;1873;niederländisch;50.9245953;5.1700244;Winkler;;Prof. D. Claes;
St. Truiden;;x;;;;1873;niederländisch;50.8131951;5.1266899;Winkler;;Edm. Bruyninx;
Zuurbemde;;x;;;;1873;niederländisch;50.8743327;4.9646352;Winkler;;J. F. Tuerlinckx;
Diest;;x;;;;1873;niederländisch;50.9963859;5.0071973;Winkler;;Professor Th. Roucourt;
Tienen;;x;;;;1873;niederländisch;50.8082974;4.8657574;Winkler;;Professor D. Claes;
Leuven;;x;;;;1873;niederländisch;50.8842287;4.6353279;Winkler;;Hendrik Bronckaerts;
Brussel;;x;;;;1873;niederländisch;50.8552114;4.3053777;Winkler;;S. C. A. Willems;
Schaarbeek;;x;;;;1873;niederländisch;50.8622612;4.3675971;Winkler;;J. van Droogenbroeck;
Tielen;;x;;;;1873;niederländisch;51.2435102;4.8889241;Winkler;;Josef Wagemans;
Mol;;x;;;;1873;niederländisch;51.2381893;5.0686916;Winkler;;Edmond van Hove;
Antwerpen;;x;;;;1873;niederländisch;51.2606116;4.2176909;Winkler;;Jan van Beers;
Lier;;x;;;;1873;niederländisch;51.1192748;4.5394185;Winkler;;Anton Bergmann;
Mechelen;;x;;;;1873;niederländisch;51.0348199;4.424543;Winkler;;Professor Th. Roucourt;
St. Amands;;x;;;;1873;niederländisch;51.1571826;4.9850852;Winkler;;J. van Droogenbroeck;
St. Nicolaas;;x;;;;1873;niederländisch;51.1687896;4.0686283;Winkler;;L. Billiet;
Eeklo;;x;;;;1873;niederländisch;51.1905606;3.4869429;Winkler;;Aug. van Acker;
Maldeghem;;x;;;;1873;niederländisch;51.2107335;3.382613;Winkler;;Courtmans-Berchmans;
Kleit;;x;;;;1873;niederländisch;51.1821826;3.4359652;Winkler;;Courtmans-Berchmans;
Gent;;x;;;;1873;niederländisch;51.0843473;3.5744802;Winkler;;G. D. Minnaert;
Nieuwe-Burg te Gent;Gravensteen?;x;;;;1873;niederländisch;51.0575326;3.718548;Winkler;;G. D. Minnaert;
Wetteren;;x;;;;1872;niederländisch;50.9898129;3.8002086;Winkler;;K. L. ter Nest;
Ninove;;x;;;;1840;niederländisch;50.8215811;3.9268146;Winkler;;F. Rens;
Eichem;;x;;;;1873;niederländisch;50.8282027;3.9777952;Winkler;;J. B. van Langenhaeke;
Geeraardsbergen;;x;;;;1873;niederländisch;50.7823397;3.8337502;Winkler;;Victor Jacobs;
Oudenaarde;;x;;;;1873;niederländisch;50.8470533;3.5493647;Winkler;;;
Deinze;;x;;;;1873;niederländisch;51.0241952;3.443273;Winkler;;Desire Delcroix;
Brugge;;x;;;;1873;niederländisch;51.2609144;3.0820264;Winkler;;Frans van Hoestenberghe;
Oostende;;x;;;;1873;niederländisch;51.2152532;2.8863615;Winkler;;J. Schipman;
Roesselaar;;x;;;;1873;niederländisch;50.9405703;3.0501691;Winkler;;V. Malfait;
Kortrijk;;x;;;;1873;niederländisch;50.8029213;3.2098801;Winkler;;Dr. jur. A. Fredericq;
Ypern;;x;;;;1873;niederländisch;50.8662433;2.8027396;Winkler;;;
Poperinge;;x;;;;1872;niederländisch;50.8661176;2.630984;Winkler;;;
Veurne-Ambacht;;x;;;;1872;niederländisch;51.1284318;2.754013;Winkler;;Professor Alexis de Carne;
Kaaster;;x;;;;1859;niederländisch;50.7559691;2.5851101;Winkler;;E. de Coussemaker;
St. Winok`s Bergen;;x;;;;1872;niederländisch;50.968063;2.4368157;Winkler;;T. de Siere;
Duinkerke;;x;;;;1873;niederländisch;51.0169557;2.308088;Winkler;;Lodewijk van Haecke;
Kempen;;x;;;;;niederländisch;51.3778141;6.4120967;Winkler;;;
Roodwaalsch van Zeele;;x;;;;;niederländisch;;;Winkler;;;
